[28-Mar-2021 10:43:15 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:43:43 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:44:15 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:44:52 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:47:20 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:47:24 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:48:33 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:50:39 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:51:32 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:51:47 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:52:32 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:56:32 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:58:59 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:59:37 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
[28-Mar-2021 10:59:44 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/update.php on line 160
[28-Mar-2021 10:59:51 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/update.php on line 384
[28-Mar-2021 11:01:10 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Operation timed out in /Users/vijay/Desktop/Projects/Learning/mernjs/wp-includes/wp-db.php on line 1612
